Customer_ID,Age,Gender,State,Education_Level,Annual_Income,Credit_Limit,Avg_Monthly_Spend,Num_Late_Payments,Credit_Utilization_Rate,Employment_Type,Credit_Score
USCUST100051,45,Female,Ohio,Bachelor’s Degree,46491,8670,912,4,1.26,Full-Time,300
USCUST100052,34,Male,Florida,Associate Degree,36283,7480,776,4,1.24,Part-Time,300
USCUST100053,70,Female,Michigan,Master’s Degree,84542,24011,1562,4,0.78,Retired,460
USCUST100054,29,Female,Texas,Bachelor’s Degree,39189,10327,678,3,0.79,Part-Time,442
USCUST100055,46,Male,North Carolina,Associate Degree,52378,15438,1404,2,1.09,Full-Time,394
USCUST100056,73,Male,Ohio,High School,82907,15427,2131,0,1.66,Retired,315
USCUST100057,22,Male,New York,Bachelor’s Degree,30143,7103,751,2,1.27,Part-Time,319
USCUST100058,40,Female,Georgia,Bachelor’s Degree,43566,9547,963,2,1.21,Part-Time,350
USCUST100059,48,Female,California,Bachelor’s Degree,49626,9651,1114,3,1.39,Full-Time,300
USCUST100060,67,Female,California,Master’s Degree,74848,20942,1308,2,0.75,Retired,519
USCUST100061,27,Female,Michigan,Master’s Degree,30610,9095,656,4,0.87,Part-Time,380
USCUST100062,64,Female,California,Master’s Degree,65616,15298,1110,2,0.87,Full-Time,474
USCUST100063,28,Male,California,High School,33241,10841,546,3,0.6,Part-Time,491
USCUST100064,67,Male,Florida,Associate Degree,86754,18280,1222,2,0.8,Retired,516
USCUST100065,55,Female,California,Associate Degree,58927,19146,1327,3,0.83,Full-Time,449
USCUST100066,34,Male,North Carolina,Bachelor’s Degree,41097,11429,884,1,0.93,Part-Time,462
USCUST100067,37,Male,North Carolina,Associate Degree,45864,8660,897,3,1.24,Full-Time,312
USCUST100068,56,Female,Florida,Master’s Degree,66733,23294,1269,4,0.65,Full-Time,480
USCUST100069,70,Male,Florida,Associate Degree,85299,19429,1126,3,0.7,Retired,516
USCUST100070,60,Female,Illinois,High School,73183,22705,1602,2,0.85,Full-Time,489
USCUST100071,24,Female,Texas,Associate Degree,26849,6907,524,0,0.91,Part-Time,483
USCUST100072,22,Male,New York,High School,29696,7979,729,1,1.1,Part-Time,400
USCUST100073,26,Male,California,High School,34444,10163,738,2,0.87,Part-Time,443
USCUST100074,74,Female,Florida,High School,97605,28529,2320,4,0.98,Retired,414
USCUST100075,62,Female,Pennsylvania,High School,80684,18790,1678,1,1.07,Full-Time,459
USCUST100076,24,Female,Michigan,Bachelor’s Degree,25020,6920,540,6,0.94,Part-Time,300
USCUST100077,74,Male,Ohio,Associate Degree,95652,26096,2363,1,1.09,Retired,469
USCUST100078,49,Female,Ohio,High School,62012,16165,1242,0,0.92,Full-Time,515
USCUST100079,38,Female,New York,Associate Degree,39761,9536,906,2,1.14,Part-Time,367
USCUST100080,46,Female,North Carolina,Master’s Degree,54211,14126,1029,5,0.87,Full-Time,371
USCUST100081,64,Female,Michigan,Bachelor’s Degree,78571,27372,1593,1,0.7,Full-Time,569
USCUST100082,54,Male,Michigan,Doctorate,73787,17358,2027,2,1.4,Full-Time,323
USCUST100083,30,Female,California,Bachelor’s Degree,38174,11846,897,2,0.91,Part-Time,435
USCUST100084,56,Male,Pennsylvania,Doctorate,62358,13657,1158,1,1.02,Full-Time,457
USCUST100085,34,Female,Pennsylvania,High School,46564,9589,1052,2,1.32,Full-Time,321
USCUST100086,51,Female,New York,Associate Degree,61423,25418,952,0,0.45,Full-Time,656
USCUST100087,68,Female,Michigan,Bachelor’s Degree,79860,22121,1590,2,0.86,Retired,491
USCUST100088,35,Female,New York,Doctorate,40855,11373,688,3,0.73,Part-Time,463
USCUST100089,28,Male,Texas,Master’s Degree,29054,8128,659,3,0.97,Part-Time,377
USCUST100090,34,Male,Florida,Bachelor’s Degree,40426,12951,810,2,0.75,Part-Time,485
USCUST100091,43,Male,New York,High School,53739,14530,1183,2,0.98,Full-Time,430
USCUST100092,60,Female,North Carolina,Associate Degree,69687,20265,1676,0,0.99,Full-Time,501
USCUST100093,41,Female,Florida,High School,50923,10035,963,2,1.15,Full-Time,375
USCUST100094,36,Male,Florida,Associate Degree,40088,11994,764,3,0.76,Part-Time,450
USCUST100095,65,Male,Pennsylvania,Associate Degree,77083,18358,1594,3,1.04,Full-Time,404
USCUST100096,38,Male,California,Associate Degree,46802,13272,807,0,0.73,Full-Time,557
USCUST100097,67,Female,Ohio,Master’s Degree,81670,13413,1697,2,1.52,Retired,300
USCUST100098,73,Female,Georgia,High School,75880,21360,1593,0,0.89,Retired,537
USCUST100099,44,Male,Florida,Associate Degree,50868,7014,1108,0,1.9,Full-Time,300
USCUST100100,46,Male,Michigan,Associate Degree,62916,14861,1420,3,1.15,Full-Time,358
USCUST100101,45,Male,Illinois,Associate Degree,51783,8529,732,2,1.03,Full-Time,412
USCUST100102,65,Female,Ohio,Associate Degree,78102,21997,1208,1,0.66,Full-Time,580
USCUST100103,61,Female,North Carolina,High School,72670,18419,1160,3,0.76,Full-Time,485
USCUST100104,49,Female,Pennsylvania,Master’s Degree,66484,14058,1410,3,1.2,Full-Time,345
USCUST100105,35,Female,Florida,Associate Degree,46516,14965,913,3,0.73,Full-Time,466
USCUST100106,65,Female,California,High School,83248,17079,947,3,0.67,Full-Time,523
USCUST100107,21,Male,Ohio,Bachelor’s Degree,23156,2279,670,4,2.5,Unemployed,300
USCUST100108,45,Male,Michigan,High School,55616,15332,697,4,0.55,Full-Time,501
USCUST100109,27,Female,Florida,High School,33933,5485,711,4,1.56,Part-Time,300
USCUST100110,29,Male,New York,Associate Degree,32774,6776,759,4,1.34,Part-Time,300
USCUST100111,44,Female,Illinois,High School,48969,10975,873,4,0.95,Full-Time,372
USCUST100112,21,Male,Ohio,Bachelor’s Degree,28780,5145,676,2,1.58,Part-Time,300
USCUST100113,64,Male,California,Master’s Degree,74874,16870,1245,0,0.89,Full-Time,539
USCUST100114,28,Male,North Carolina,Associate Degree,38121,6851,821,3,1.44,Part-Time,300
USCUST100115,44,Female,North Carolina,Bachelor’s Degree,57187,14761,671,6,0.55,Full-Time,443
USCUST100116,31,Male,Illinois,Associate Degree,38464,7252,989,3,1.64,Part-Time,300
USCUST100117,71,Female,California,High School,88412,22236,1842,4,0.99,Retired,400
USCUST100118,37,Male,Pennsylvania,Associate Degree,39218,12083,556,1,0.55,Part-Time,573
USCUST100119,28,Male,California,Bachelor’s Degree,34178,9881,801,2,0.97,Part-Time,412
USCUST100120,55,Male,Illinois,High School,73793,18146,2039,3,1.35,Full-Time,309
USCUST100121,55,Male,California,Bachelor’s Degree,69747,13988,1183,1,1.01,Full-Time,465
USCUST100122,53,Male,Pennsylvania,Bachelor’s Degree,64417,16616,1285,3,0.93,Full-Time,426
USCUST100123,25,Male,New York,Master’s Degree,34279,7377,640,3,1.04,Part-Time,361
USCUST100124,62,Female,Georgia,High School,73252,19049,1291,2,0.81,Full-Time,499
USCUST100125,59,Female,Georgia,High School,67144,11027,1153,1,1.25,Full-Time,390
USCUST100126,61,Female,Michigan,High School,74138,21526,1344,1,0.75,Full-Time,549
USCUST100127,48,Female,Texas,Master’s Degree,61279,15421,1125,4,0.88,Full-Time,408
USCUST100128,27,Female,California,Master’s Degree,27761,10005,537,5,0.64,Part-Time,414
USCUST100129,29,Female,Florida,Master’s Degree,35626,11232,678,2,0.72,Part-Time,488
USCUST100130,28,Male,California,Bachelor’s Degree,35868,9982,861,2,1.04,Part-Time,395
USCUST100131,32,Male,Texas,Bachelor’s Degree,37537,9151,887,6,1.16,Part-Time,300
USCUST100132,54,Male,Pennsylvania,Associate Degree,70777,15112,1022,1,0.81,Full-Time,527
USCUST100133,53,Female,Pennsylvania,Master’s Degree,66998,19906,1230,4,0.74,Full-Time,454
USCUST100134,68,Female,California,Master’s Degree,96161,22936,2504,1,1.31,Retired,403
USCUST100135,43,Male,Florida,Associate Degree,48372,14918,1067,4,0.86,Full-Time,400
USCUST100136,44,Male,Illinois,Associate Degree,56455,15245,1254,2,0.99,Full-Time,430
USCUST100137,57,Male,New York,Bachelor’s Degree,62601,16927,1366,0,0.97,Full-Time,502
USCUST100138,55,Male,North Carolina,High School,57115,15976,1127,0,0.85,Full-Time,533
USCUST100139,64,Female,Texas,Master’s Degree,63772,13010,1317,1,1.21,Full-Time,399
USCUST100140,60,Male,Texas,Associate Degree,75229,14962,1440,3,1.15,Full-Time,368
USCUST100141,42,Female,Texas,Associate Degree,51173,10089,1248,1,1.48,Full-Time,305
USCUST100142,47,Female,California,Bachelor’s Degree,54148,16372,1039,3,0.76,Full-Time,465
USCUST100143,55,Male,North Carolina,Bachelor’s Degree,56245,11401,1145,1,1.21,Full-Time,394
USCUST100144,21,Female,New York,Associate Degree,23750,4962,567,4,1.37,Unemployed,300
USCUST100145,55,Female,Ohio,Master’s Degree,66022,18279,1285,2,0.84,Full-Time,482
USCUST100146,57,Male,Florida,Doctorate,72921,17311,1497,2,1.04,Full-Time,431
USCUST100147,67,Female,Pennsylvania,Bachelor’s Degree,80289,18547,1552,1,1.0,Retired,479
USCUST100148,34,Female,North Carolina,Bachelor’s Degree,41657,9442,852,6,1.08,Part-Time,300
USCUST100149,23,Male,Georgia,Bachelor’s Degree,26734,3574,520,6,1.75,Part-Time,300
USCUST100150,21,Male,California,Bachelor’s Degree,28873,5822,537,3,1.11,Part-Time,336
USCUST100151,25,Male,Georgia,Master’s Degree,27454,8485,490,3,0.69,Part-Time,459
USCUST100152,46,Male,Florida,High School,51983,11593,1045,2,1.08,Full-Time,397
USCUST100153,34,Male,New York,High School,39125,6063,981,2,1.94,Part-Time,300
USCUST100154,59,Female,Pennsylvania,Master’s Degree,74001,14770,1733,0,1.41,Full-Time,381
USCUST100155,47,Male,Michigan,High School,51517,13806,734,2,0.64,Full-Time,530
USCUST100156,29,Male,California,Bachelor’s Degree,35193,9396,670,1,0.86,Part-Time,478
USCUST100157,35,Female,Georgia,High School,42577,10017,773,5,0.93,Part-Time,344
USCUST100158,35,Female,Texas,Doctorate,39569,8528,566,1,0.8,Part-Time,500
USCUST100159,46,Female,Florida,Master’s Degree,56717,10202,1246,1,1.47,Full-Time,317
USCUST100160,62,Male,North Carolina,Master’s Degree,68151,18292,1392,2,0.91,Full-Time,464
USCUST100161,33,Male,Illinois,Doctorate,35913,10482,1050,0,1.2,Part-Time,405
USCUST100162,71,Male,California,High School,85907,27012,1670,1,0.74,Retired,563
USCUST100163,52,Female,Illinois,Associate Degree,53769,10456,946,2,1.09,Full-Time,398
USCUST100164,59,Male,Georgia,Bachelor’s Degree,58145,18506,999,1,0.65,Full-Time,563
USCUST100165,69,Female,Illinois,Master’s Degree,86476,21374,1638,1,0.92,Retired,510
USCUST100166,72,Female,Texas,High School,93952,23612,2188,2,1.11,Retired,430
USCUST100167,52,Female,Florida,Master’s Degree,59972,17672,1425,1,0.97,Full-Time,469
USCUST100168,24,Female,North Carolina,High School,27196,6063,898,1,1.78,Part-Time,300
USCUST100169,50,Female,Pennsylvania,Master’s Degree,65027,9221,1027,5,1.34,Full-Time,300
USCUST100170,57,Female,Ohio,Bachelor’s Degree,61870,17647,1311,2,0.89,Full-Time,464
USCUST100171,43,Male,Georgia,Bachelor’s Degree,45737,12231,822,3,0.81,Full-Time,443
USCUST100172,59,Female,California,Associate Degree,74975,17393,1671,2,1.15,Full-Time,399
USCUST100173,65,Male,Illinois,High School,78058,21944,2076,1,1.14,Full-Time,437
USCUST100174,35,Female,New York,Associate Degree,45727,13322,1116,3,1.01,Full-Time,384
USCUST100175,63,Female,California,Associate Degree,62116,10833,981,2,1.09,Full-Time,406
USCUST100176,49,Female,Texas,Bachelor’s Degree,51936,13042,1230,2,1.13,Full-Time,382
USCUST100177,56,Female,Georgia,Bachelor’s Degree,67280,9158,809,0,1.06,Full-Time,479
USCUST100178,33,Female,Texas,Associate Degree,40978,9991,447,7,0.54,Part-Time,399
USCUST100179,52,Female,New York,Associate Degree,66804,15455,1322,3,1.03,Full-Time,398
USCUST100180,27,Female,New York,Master’s Degree,32872,9026,768,5,1.02,Part-Time,306
USCUST100181,71,Male,California,Master’s Degree,86369,16958,1924,1,1.36,Retired,377
USCUST100182,42,Female,Florida,High School,48764,11163,1403,1,1.51,Full-Time,300
USCUST100183,48,Male,Georgia,Master’s Degree,65236,5818,1388,3,2.5,Full-Time,300
USCUST100184,22,Female,California,Doctorate,23973,6661,488,0,0.88,Unemployed,490
USCUST100185,62,Female,California,Master’s Degree,76625,18817,1965,1,1.25,Full-Time,400
USCUST100186,65,Male,Ohio,Master’s Degree,71579,18206,1379,0,0.91,Full-Time,528
USCUST100187,73,Male,Pennsylvania,Bachelor’s Degree,91503,16043,2054,1,1.54,Retired,330
USCUST100188,26,Female,Ohio,Associate Degree,28503,7693,647,3,1.01,Part-Time,365
USCUST100189,48,Male,Texas,Bachelor’s Degree,61170,20347,1026,2,0.61,Full-Time,549
USCUST100190,48,Female,Georgia,Bachelor’s Degree,58138,13996,1305,1,1.12,Full-Time,422
USCUST100191,64,Male,Florida,Associate Degree,87965,24850,2633,1,1.27,Full-Time,406
USCUST100192,64,Male,Pennsylvania,Associate Degree,75001,15485,1917,1,1.49,Full-Time,329
USCUST100193,40,Male,California,Associate Degree,49699,12233,861,1,0.84,Full-Time,496
USCUST100194,50,Male,Texas,Bachelor’s Degree,56101,9729,1715,1,2.12,Full-Time,300
USCUST100195,31,Male,Georgia,Associate Degree,36307,10507,860,0,0.98,Part-Time,471
USCUST100196,48,Female,Texas,Bachelor’s Degree,58107,14991,1313,2,1.05,Full-Time,412
USCUST100197,45,Male,California,Master’s Degree,47127,8908,962,3,1.3,Full-Time,300
USCUST100198,59,Male,Pennsylvania,Associate Degree,62436,13105,1478,2,1.35,Full-Time,326
USCUST100199,53,Male,Illinois,Doctorate,66779,16898,1422,4,1.01,Full-Time,373
USCUST100200,21,Female,Pennsylvania,Bachelor’s Degree,24893,7373,520,4,0.85,Unemployed,380
USCUST100201,47,Female,Pennsylvania,High School,53613,17369,1087,7,0.75,Full-Time,348
USCUST100202,72,Male,Illinois,High School,81093,19729,2018,0,1.23,Retired,442
USCUST100203,33,Female,Florida,Associate Degree,37294,6778,911,3,1.61,Part-Time,300
USCUST100204,61,Female,North Carolina,Associate Degree,73886,19352,1493,4,0.93,Full-Time,406
USCUST100205,23,Female,Illinois,Master’s Degree,28623,9710,415,3,0.51,Part-Time,514
USCUST100206,59,Male,Pennsylvania,Bachelor’s Degree,58456,9871,1226,0,1.49,Full-Time,341
USCUST100207,26,Male,New York,Master’s Degree,34873,7053,622,1,1.06,Part-Time,417
USCUST100208,28,Female,North Carolina,Bachelor’s Degree,37356,10480,704,1,0.81,Part-Time,495
USCUST100209,47,Female,California,Associate Degree,45445,11710,923,6,0.95,Full-Time,311
USCUST100210,29,Male,Illinois,Associate Degree,37949,8453,622,4,0.88,Part-Time,383
USCUST100211,57,Male,Florida,Bachelor’s Degree,74414,19422,1051,2,0.65,Full-Time,549
USCUST100212,53,Female,Pennsylvania,Bachelor’s Degree,63602,19009,1402,4,0.89,Full-Time,408
USCUST100213,71,Male,New York,Associate Degree,75990,18623,1591,1,1.03,Retired,468
USCUST100214,62,Female,Ohio,Master’s Degree,80694,19423,1677,1,1.04,Full-Time,469
USCUST100215,64,Male,California,Bachelor’s Degree,75256,21030,1727,1,0.99,Full-Time,479
USCUST100216,44,Male,Florida,Master’s Degree,55215,13056,998,0,0.92,Full-Time,510
USCUST100217,35,Male,Georgia,Bachelor’s Degree,49767,15284,1105,3,0.87,Full-Time,429
USCUST100218,74,Male,Texas,Associate Degree,90663,31853,2394,0,0.9,Retired,550
USCUST100219,52,Female,California,Bachelor’s Degree,57632,11834,1139,2,1.15,Full-Time,381
USCUST100220,52,Male,Illinois,High School,60654,11372,1743,3,1.84,Full-Time,300
USCUST100221,44,Male,Michigan,Bachelor’s Degree,49326,13248,1037,3,0.94,Full-Time,407
USCUST100222,61,Male,California,Associate Degree,75844,14086,1310,3,1.12,Full-Time,381
USCUST100223,72,Male,California,High School,80596,14899,1964,1,1.58,Retired,306
USCUST100224,69,Male,Pennsylvania,Associate Degree,79537,11734,1619,1,1.66,Retired,300
USCUST100225,69,Female,Texas,Associate Degree,73937,17071,1864,0,1.31,Retired,410
USCUST100226,72,Female,Florida,High School,85448,21221,1927,1,1.09,Retired,458
USCUST100227,32,Male,Georgia,Master’s Degree,38965,8733,758,5,1.04,Part-Time,306
USCUST100228,59,Female,Texas,Bachelor’s Degree,54959,17560,1493,2,1.02,Full-Time,418
USCUST100229,22,Male,Ohio,Associate Degree,26971,8517,505,2,0.71,Part-Time,483
USCUST100230,23,Female,Illinois,Bachelor’s Degree,27494,9525,324,2,0.41,Part-Time,575
USCUST100231,69,Male,North Carolina,Master’s Degree,77521,19560,1899,2,1.17,Retired,398
USCUST100232,57,Male,Michigan,High School,79963,24723,1782,0,0.86,Full-Time,550
USCUST100233,69,Female,Florida,Bachelor’s Degree,89413,23734,2341,1,1.18,Retired,434
USCUST100234,37,Male,Illinois,Bachelor’s Degree,40343,10506,692,1,0.79,Part-Time,503
USCUST100235,69,Male,Ohio,Master’s Degree,88583,20075,1754,1,1.05,Retired,474
USCUST100236,22,Male,New York,Bachelor’s Degree,29137,3987,563,4,1.69,Part-Time,300
USCUST100237,22,Male,Texas,High School,26690,7522,659,5,1.05,Part-Time,300
USCUST100238,48,Male,Michigan,Associate Degree,59334,18257,1397,0,0.92,Full-Time,513
USCUST100239,74,Female,Florida,Bachelor’s Degree,91303,15861,1983,4,1.5,Retired,300
USCUST100240,43,Female,California,High School,42630,10636,927,5,1.05,Part-Time,308
USCUST100241,57,Female,Georgia,Master’s Degree,67334,20172,1079,3,0.64,Full-Time,514
USCUST100242,52,Female,Pennsylvania,High School,61157,14189,1469,2,1.24,Full-Time,358
USCUST100243,53,Male,Texas,High School,71179,22040,1716,1,0.93,Full-Time,490
USCUST100244,21,Male,California,High School,25900,6293,786,1,1.5,Part-Time,300
USCUST100245,39,Female,New York,Bachelor’s Degree,45639,10211,1040,1,1.22,Full-Time,378
USCUST100246,22,Male,North Carolina,Bachelor’s Degree,26201,8188,614,5,0.9,Part-Time,336
USCUST100247,73,Female,Michigan,High School,95070,19328,2169,2,1.35,Retired,361
USCUST100248,64,Male,New York,Master’s Degree,75618,16163,1355,1,1.01,Full-Time,473
USCUST100249,46,Male,Georgia,High School,51988,10669,1353,3,1.52,Full-Time,300
USCUST100250,52,Female,Florida,Associate Degree,60966,11758,1255,6,1.28,Full-Time,300
USCUST100251,26,Female,Pennsylvania,High School,33645,8668,673,1,0.93,Part-Time,454
USCUST100252,52,Female,New York,Master’s Degree,64980,14578,1317,1,1.08,Full-Time,439
USCUST100253,24,Female,Illinois,Master’s Degree,28906,7932,594,4,0.9,Part-Time,369
USCUST100254,31,Female,New York,Bachelor’s Degree,37793,6170,710,4,1.38,Part-Time,300
USCUST100255,37,Female,California,High School,42328,8206,919,1,1.34,Part-Time,339
USCUST100256,58,Female,California,Bachelor’s Degree,68475,17295,1398,1,0.97,Full-Time,477
USCUST100257,44,Male,New York,Bachelor’s Degree,49881,16135,1001,2,0.74,Full-Time,496
USCUST100258,25,Female,Michigan,Associate Degree,29263,7869,669,3,1.02,Part-Time,363
USCUST100259,72,Female,Michigan,Associate Degree,96092,21191,2032,0,1.15,Retired,480
USCUST100260,54,Female,Georgia,Master’s Degree,58979,10352,1092,3,1.27,Full-Time,319
USCUST100261,26,Male,Texas,High School,29409,6399,519,2,0.97,Part-Time,407
USCUST100262,42,Male,Florida,Bachelor’s Degree,45131,11186,958,1,1.03,Full-Time,436
USCUST100263,31,Male,Florida,Associate Degree,32640,4312,578,0,1.61,Part-Time,300
USCUST100264,68,Female,Florida,Bachelor’s Degree,80329,15208,1399,1,1.1,Retired,449
USCUST100265,36,Male,California,High School,40976,8732,716,3,0.98,Part-Time,385
USCUST100266,53,Female,Illinois,High School,72936,17295,1596,0,1.11,Full-Time,470
USCUST100267,29,Female,California,Bachelor’s Degree,33979,8402,876,2,1.25,Part-Time,328
USCUST100268,26,Male,Georgia,Doctorate,34552,7582,769,3,1.22,Part-Time,309
USCUST100269,36,Female,Ohio,Doctorate,46684,12851,1145,4,1.07,Full-Time,335
USCUST100270,49,Male,New York,High School,57776,14804,1186,5,0.96,Full-Time,349
USCUST100271,23,Male,Pennsylvania,High School,32453,7512,695,1,1.11,Part-Time,399
USCUST100272,40,Male,Texas,Bachelor’s Degree,49074,13848,1360,1,1.18,Full-Time,395
USCUST100273,56,Male,New York,Associate Degree,75672,21044,1837,2,1.05,Full-Time,431
USCUST100274,39,Female,New York,Master’s Degree,52246,9263,1292,1,1.67,Full-Time,300
USCUST100275,46,Male,Georgia,Bachelor’s Degree,57107,14185,1126,0,0.95,Full-Time,501
USCUST100276,23,Male,Texas,Bachelor’s Degree,29327,8637,610,1,0.85,Part-Time,475
USCUST100277,39,Female,Illinois,Bachelor’s Degree,49233,14911,1108,4,0.89,Full-Time,391
USCUST100278,40,Female,Texas,High School,43422,11660,794,1,0.82,Part-Time,498
USCUST100279,52,Male,New York,Bachelor’s Degree,62697,14942,688,2,0.55,Full-Time,566
USCUST100280,27,Male,Texas,Bachelor’s Degree,35300,9568,793,5,0.99,Part-Time,316
USCUST100281,72,Male,Pennsylvania,Master’s Degree,97388,28280,2419,0,1.03,Retired,519
USCUST100282,61,Male,Illinois,High School,68804,17599,1449,1,0.99,Full-Time,472
USCUST100283,53,Female,Ohio,Associate Degree,66402,17359,1218,2,0.84,Full-Time,483
USCUST100284,60,Male,Texas,Doctorate,72905,17315,1418,0,0.98,Full-Time,508
USCUST100285,59,Female,California,Bachelor’s Degree,70104,12840,868,2,0.81,Full-Time,496
USCUST100286,38,Female,Pennsylvania,Master’s Degree,46952,11328,912,1,0.97,Full-Time,457
USCUST100287,60,Female,California,Bachelor’s Degree,73307,15844,1186,2,0.9,Full-Time,473
USCUST100288,21,Male,Texas,Master’s Degree,26336,5696,471,1,0.99,Part-Time,428
USCUST100289,31,Male,New York,Associate Degree,41669,13404,665,1,0.6,Part-Time,563
USCUST100290,48,Female,Ohio,High School,61363,18260,950,1,0.62,Full-Time,574
USCUST100291,45,Male,Pennsylvania,Master’s Degree,55397,9158,922,1,1.21,Full-Time,392
USCUST100292,70,Female,Texas,Master’s Degree,97052,18998,2277,2,1.44,Retired,335
USCUST100293,43,Female,Pennsylvania,Bachelor’s Degree,56372,13068,1054,0,0.97,Full-Time,496
USCUST100294,51,Male,Ohio,Bachelor’s Degree,60728,13236,984,3,0.89,Full-Time,433
USCUST100295,50,Male,Florida,Master’s Degree,53914,14334,1292,3,1.08,Full-Time,369
USCUST100296,62,Female,Texas,High School,68275,12823,1459,2,1.37,Full-Time,328
USCUST100297,55,Female,Pennsylvania,Bachelor’s Degree,71132,21192,781,1,0.44,Full-Time,638
